dataset,year,value,category,metric
Market Size,2018,350.0,Total Market,Billions USD
Market Size,2019,372.05,Total Market,Billions USD
Market Size,2020,395.49,Total Market,Billions USD
Market Size,2021,420.4,Total Market,Billions USD
Market Size,2022,446.89,Total Market,Billions USD
Market Size,2023,475.04,Total Market,Billions USD
Market Size,2024,504.97,Total Market,Billions USD
Market Size,2025,536.79,Total Market,Billions USD
Market Size,2026,570.6,Total Market,Billions USD
Market Size,2027,606.55,Total Market,Billions USD
Market Size,2028,644.76,Total Market,Billions USD
